timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752796493.513,1514.708,0.29915,1.88889,197919.00,5.23771,113598,42,-669.0000,-97.0000,-4041.0000
1752796493.622,1514.817,0.30769,1.88095,197919.00,5.05257,113629,42,-672.0000,-93.0000,-4033.0000
1752796493.769,1514.964,0.30830,1.88095,202793.00,4.93111,113876,42,-658.0000,-91.0000,-4043.0000
1752796493.927,1515.122,0.30830,1.87973,202872.00,4.92920,113765,42,-673.0000,-88.0000,-4045.0000
1752796494.041,1515.236,0.30769,1.87851,204823.00,4.88226,113939,42,-667.0000,-80.0000,-4031.0000
1752796494.151,1515.346,0.30830,1.87851,204663.00,4.88606,114292,42,-655.0000,-94.0000,-4053.0000
1752796494.271,1515.466,0.31685,1.87607,203807.00,4.90660,113519,42,-666.0000,-93.0000,-4025.0000
1752796494.382,1515.577,0.32418,1.86264,220826.00,4.52844,113565,42,-671.0000,-74.0000,-4026.0000
1752796494.524,1515.719,0.30769,1.87851,218715.00,4.57215,113546,42,-674.0000,-75.0000,-4038.0000
1752796494.669,1515.864,0.30769,1.87790,201317.00,4.96728,113635,42,-666.0000,-88.0000,-4038.0000
1752796494.784,1515.979,0.30830,1.87973,204743.00,4.88416,113684,42,-670.0000,-97.0000,-4042.0000
1752796494.902,1516.097,0.31013,1.87729,205531.00,4.86543,113771,42,-672.0000,-77.0000,-4040.0000
1752796495.013,1516.208,0.33272,1.85226,222994.00,4.48442,113883,42,-662.0000,-78.0000,-4039.0000
1752796495.166,1516.361,0.32784,1.85714,226020.00,4.42437,114019,42,-667.0000,-88.0000,-4039.0000
1752796495.276,1516.471,0.31136,1.87607,207413.00,4.82129,113564,42,-669.0000,-94.0000,-4059.0000
1752796495.412,1516.607,0.31074,1.87607,206081.00,4.85244,113576,42,-668.0000,-85.0000,-4034.0000
1752796495.530,1516.725,0.31136,1.87546,207494.00,4.80473,113674,42,-662.0000,-102.0000,-4043.0000
1752796495.651,1516.846,0.31136,1.87607,207494.00,4.81941,113723,42,-678.0000,-78.0000,-4040.0000
1752796495.765,1516.960,0.31319,1.87546,208437.00,4.80661,113778,42,-663.0000,-84.0000,-4046.0000
1752796495.953,1517.148,0.31319,1.87424,208437.00,4.79760,113839,42,-677.0000,-87.0000,-4047.0000
1752796496.045,1517.240,0.31319,1.87302,208046.00,4.80661,113914,42,-665.0000,-79.0000,-4043.0000
1752796496.188,1517.383,0.31197,1.87485,209628.00,4.77035,113563,42,-673.0000,-87.0000,-4047.0000
1752796496.318,1517.513,0.31258,1.87302,206713.00,4.83761,113581,42,-667.0000,-95.0000,-4042.0000
1752796496.512,1517.707,0.31319,1.87302,208763.00,4.79010,113630,42,-674.0000,-91.0000,-4031.0000
1752796496.636,1517.831,0.31380,1.87546,209400.00,4.77553,113727,42,-665.0000,-85.0000,-4046.0000
1752796496.808,1518.003,0.31563,1.87241,209318.00,4.81189,113744,42,-672.0000,-112.0000,-4045.0000
1752796496.891,1518.086,0.31624,1.87302,209318.00,4.77740,113860,42,-671.0000,-101.0000,-4053.0000
1752796497.008,1518.203,0.31502,1.86813,211464.00,4.72893,113956,42,-661.0000,-98.0000,-4048.0000
1752796497.147,1518.342,0.31502,1.87118,213679.00,4.67991,114027,42,-670.0000,-74.0000,-4035.0000
1752796497.313,1518.508,0.31502,1.87179,209956.00,4.76288,114038,42,-688.0000,-105.0000,-4047.0000
1752796497.420,1518.615,0.31624,1.87179,211154.00,4.73586,113706,42,-678.0000,-99.0000,-4043.0000
1752796497.572,1518.767,0.31746,1.86996,211547.00,4.72707,113673,42,-687.0000,-84.0000,-4030.0000
1752796497.711,1518.906,0.31685,1.86996,211940.00,4.71831,113711,42,-673.0000,-93.0000,-4045.0000
1752796497.887,1519.082,0.31563,1.86935,212416.00,4.70773,113779,42,-675.0000,-95.0000,-4033.0000
1752796498.016,1519.211,0.31746,1.86691,212809.00,4.69904,113842,42,-674.0000,-77.0000,-4043.0000
1752796498.148,1519.343,0.31807,1.86691,214972.00,4.65176,113953,42,-668.0000,-95.0000,-4042.0000
1752796498.266,1519.461,0.33333,1.85592,213874.00,4.67563,114032,42,-675.0000,-85.0000,-4033.0000
1752796498.392,1519.587,0.33089,1.85958,225982.00,4.42512,114088,42,-666.0000,-76.0000,-4026.0000
1752796498.500,1519.695,0.31990,1.86752,214100.00,4.41301,113727,42,-655.0000,-102.0000,-4028.0000
1752796498.586,1519.781,0.31929,1.86874,214100.00,4.67071,113817,42,-686.0000,-100.0000,-4031.0000
1752796498.675,1519.870,0.31868,1.86813,214747.00,4.65663,113848,42,-678.0000,-79.0000,-4039.0000
1752796498.795,1519.990,0.32112,1.86752,214184.00,4.66887,113896,42,-658.0000,-69.0000,-4042.0000
1752796498.941,1520.136,0.31990,1.86691,214268.00,4.66703,113988,42,-676.0000,-73.0000,-4035.0000
1752796499.128,1520.323,0.32051,1.86630,215057.00,4.64993,114084,42,-674.0000,-91.0000,-4042.0000
1752796499.272,1520.467,0.32295,1.86569,217405.00,4.63227,114173,42,-664.0000,-83.0000,-4050.0000
1752796499.392,1520.587,0.32112,1.86569,217405.00,4.59971,113771,42,-670.0000,-85.0000,-4038.0000
1752796499.601,1520.796,0.32173,1.86447,217181.00,4.60445,113779,42,-677.0000,-94.0000,-4043.0000
1752796499.746,1520.941,0.32173,1.86508,217405.00,4.59971,113792,42,-661.0000,-89.0000,-4045.0000
1752796499.848,1521.043,0.32112,1.86325,217009.00,4.60809,113929,42,-673.0000,-81.0000,-4031.0000
